,loss,accuracy,val_loss,val_accuracy
0,3.8956,0.1187,3.2575,0.1586
1,3.0947,0.1908,3.3079,0.1641
2,2.9549,0.2207,3.5859,0.1438
3,2.7462,0.2711,16.3275,0.1611
4,2.5246,0.3224,2.2197,0.4068
5,2.3575,0.3689,2.1855,0.4284
6,2.1714,0.4136,2.1362,0.4357
7,2.0555,0.4472,1.6678,0.5781
8,1.8675,0.4922,1.5437,0.5885
9,1.7874,0.5173,1.3619,0.6626
10,1.6044,0.5633,1.5216,0.5976
0,1.6250958442687988,0.5623074769973755,1.8671891689300537,0.6622983813285828
1,1.4829093217849731,0.5968636274337769,1.4532824754714966,0.6167674660682678
2,1.3758021593093872,0.6253150105476379,8.708486557006836,0.4583333432674408
3,1.2959318161010742,0.6453094482421875,8.571525573730469,0.6297042965888977
4,1.2522273063659668,0.6571268439292908,1.3122812509536743,0.6767473220825195
5,1.2044799327850342,0.673312783241272,0.8518825769424438,0.772681474685669
6,1.1104110479354858,0.6929711699485779,2.07492733001709,0.5053763389587402
7,1.20610249042511,0.6745449304580688,0.8289397954940796,0.7878023982048035
8,1.135195255279541,0.6902828216552734,1.0781419277191162,0.7533602118492126
9,1.0384604930877686,0.7145897746086121,3.0757699012756348,0.6357526779174805
0,1.071596622467041,0.7055166363716125,0.7836776971817017,0.8062835931777954
1,0.9496889114379883,0.7395127415657043,0.6990635991096497,0.8304771780967712
2,0.8937817811965942,0.7530103325843811,0.8089606165885925,0.8014112710952759
3,0.8905916213989258,0.7542985081672668,0.7392758727073669,0.8114919066429138
4,0.866003155708313,0.7610193490982056,0.7720655202865601,0.8193884491920471
5,0.8296448588371277,0.7690842747688293,0.87245774269104,0.8153561949729919
6,0.8127451539039612,0.7734528183937073,0.6755357980728149,0.8407257795333862
7,0.8374572396278381,0.7679081559181213,1.6825196743011475,0.8035954236984253
8,0.886601448059082,0.7581069469451904,0.6661354899406433,0.8328292965888977
9,0.7860608100891113,0.779165506362915,0.9304458498954773,0.7973790168762207
